MatchID,Map,Player,Team,Agent,ACS,Kills,Deaths,Assists,PlusMinusKD,ADR,HS%,FK,FD,PlusMinusFK
34964,Ascent,d3ffo,GMB,jett,284,19,14,3,5,163.2,24,5,1,4
34964,Ascent,Redgar,GMB,astra,238,19,9,6,10,132.1,18,2,0,2
34964,Ascent,sheydos,GMB,skye,218,13,11,8,2,142.6,14,2,1,1
34964,Ascent,nAts,GMB,cypher,178,12,12,7,0,134.6,27,3,3,0
34964,Ascent,Chronicle,GMB,sova,157,8,11,13,-3,128.6,27,1,0,1
34964,Ascent,Ethan,100T,skye,271,16,13,4,3,184.1,25,2,3,-1
34964,Ascent,Asuna,100T,jett,220,13,15,0,-2,138.4,28,3,3,0
34964,Ascent,nitr0,100T,omen,202,13,14,5,-1,123.1,23,0,1,-1
34964,Ascent,Hiko,100T,sova,161,9,13,5,-4,111.7,7,0,2,-2
34964,Ascent,steel,100T,kayo,111,6,16,3,-10,83.3,18,0,4,-4
34964,Icebox,sheydos,GMB,reyna,289,26,15,3,11,186.8,24,4,1,3
34964,Icebox,d3ffo,GMB,jett,267,23,15,5,8,156.4,19,3,1,2
34964,Icebox,nAts,GMB,viper,182,15,15,12,0,124.8,20,3,5,-2
34964,Icebox,Chronicle,GMB,sova,159,12,17,12,-5,116.5,23,0,1,-1
34964,Icebox,Redgar,GMB,sage,134,11,20,9,-9,93.3,38,4,2,2
34964,Icebox,Asuna,100T,reyna,271,23,19,4,4,171.9,24,2,7,-5
34964,Icebox,steel,100T,killjoy,208,16,20,4,-4,135.4,27,1,2,-1
34964,Icebox,Ethan,100T,omen,207,17,18,3,-1,159.0,32,6,3,3
34964,Icebox,Hiko,100T,sova,165,12,14,5,-2,120.9,29,0,1,-1
34964,Icebox,nitr0,100T,viper,161,14,16,11,-2,104.0,14,1,1,0
34964,Split,sheydos,GMB,skye,265,23,17,6,6,165.4,43,4,1,3
34964,Split,Chronicle,GMB,viper,223,18,17,8,1,152.0,17,2,2,0
34964,Split,nAts,GMB,cypher,208,17,15,6,2,140.9,35,2,2,0
34964,Split,Redgar,GMB,astra,152,11,17,7,-6,111.6,28,0,1,-1
34964,Split,d3ffo,GMB,jett,142,11,18,3,-7,87.5,18,2,7,-5
34964,Split,Asuna,100T,jett,301,23,21,6,2,171.7,24,10,3,7
34964,Split,Hiko,100T,viper,218,19,12,5,7,225.8,34,2,0,2
34964,Split,nitr0,100T,astra,207,15,12,13,3,195.6,27,1,1,0
34964,Split,Ethan,100T,skye,164,15,18,4,-3,112.5,26,0,3,-3
34964,Split,steel,100T,kayo,151,12,17,10,-5,98.5,12,0,3,-3
